flight_number,date,booster_version,launch_site,payload,payload_mass_kg,orbit,customer,launch_outcome,booster_landing,launch_year,launch_site_code,success_flag
295.0,,"First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.",9.0,"First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.",,FCfoF9NGatffSwarrsidfiArEfwsnsswhlpcafbtbiosfmwlprSmtftaahflclotsvmcUECcsnihoP“HR,0
296.0,2024-02-08 06:33:00,F9 B5 B1081‑4,"Cape Canaveral, SLC‑40",PACE,1694.0,SSO,NASA (LSP),Success,Success (LZ‑1),2024.0,CCS,1
296.0,,"This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]",0.0,"This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]",,TwamtltPACoE(sa1t(lUmctoaa6k(maIhtOCIitspitoawatpfspocaatoTlpwUm,0
297.0,2024-02-10 00:34:00,F9 B5 B1071‑14,"Vandenberg, SLC‑4E",Starlink: Group 7-13 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
297.0,,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,22.0,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,Lo2Svmsta5k(moaaio5teic,0
298.0,2024-02-14 22:30:00,F9 B5 B1078‑7,"Cape Canaveral, SLC‑40",USSF-124 (6 satellites),0.0,LEO,USSF / SDA,Success,Success (LZ‑2),2024.0,CCS,1
298.0,,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,0.0,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,,LitHafST0TLsLpoP2USFcai2StassfFmcmk1tfafhft1t,0
299.0,2024-02-15 06:05:00,F9 B5 B1060‑18,"Kennedy, LC‑39A",IM-1 Nova-C Odysseus lander,1931.0,TLI,NASA (CLPS) / Intuitive Machines,Success,Success (LZ‑1),2024.0,KL,1
299.0,,"Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]",100.0,"Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]",,SmoNCLPSpafpActslasotMTlcfpout1k(lt(NLSaRadcnEatdftlsiaml2wTLptewmtfcloalmitpbl,0
300.0,2024-02-15 21:34:00,F9 B5 B1082‑2,"Vandenberg, SLC‑4E",Starlink: Group 7-14 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),2024.0,VS,1
